Error = 1e-12, roots = [1.65 1.64]
Error = 1e-11, roots = [1.65 1.64]
Error = 1e-10, roots = [1.64999999 1.64000001]
Error = 1e-09, roots = [1.6499999 1.6400001]
Error = 1e-08, roots = [1.649999 1.640001]
Error = 1e-07, roots = [1.64998999 1.64001001]
Error = 1e-06, roots = [1.64989898 1.64010102]
Error = 1e-05, roots = [1.64887298 1.64112702]
Error = 0.0001, roots = [1.645+0.00866025j 1.645-0.00866025j]
Error = 0.001, roots = [1.645+0.03122499j 1.645-0.03122499j]
Error = 0.01, roots = [1.645+0.09987492j 1.645-0.09987492j]
Error = 0.1, roots = [1.645+0.31618824j 1.645-0.31618824j]
Error = 1, roots = [1.645+0.9999875j 1.645-0.9999875j]
